Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2024-01-23 13:38:27.349 -0500,"Success",0:00:01,0,0,0,"20240123_133827.349/LogFile.txt","","",1
2024-01-23 13:40:52.195 -0500,"Success",0:00:02,0,0,0,"20240123_134052.195/LogFile.txt","","",1
2024-01-23 13:41:08.045 -0500,"Success",0:00:10,0,0,0,"20240123_134108.045/LogFile.txt","","",1
2024-01-23 13:41:56.995 -0500,"Aborted",0:06:54,1,0,1,"20240123_134156.995/LogFile.txt","","",0
2024-01-23 13:50:09.363 -0500,"Success",0:00:43,0,0,0,"20240123_135009.363/LogFile.txt","","",1
2024-01-23 13:53:44.882 -0500,"Success",0:00:05,0,0,0,"20240123_135344.882/LogFile.txt","","",1
2024-01-23 14:10:38.507 -0500,"Success",0:00:05,0,0,0,"20240123_141038.507/LogFile.txt","","",1
2024-01-23 14:52:51.285 -0500,"Success",0:00:04,0,0,0,"20240123_145251.285/LogFile.txt","","",1
2024-01-23 14:53:44.201 -0500,"Success",0:00:07,0,0,0,"20240123_145344.201/LogFile.txt","","",1
2024-01-23 14:54:38.739 -0500,"Success",0:00:08,0,0,0,"20240123_145438.739/LogFile.txt","","",1
